order_id,customer_id,order_date,amount,category,returned
O000001,C00702,2026-07-01,7421.57,grocery,0
O000002,C00702,2026-06-11,12368.96,grocery,0
O000003,C00702,2026-07-16,1264.57,grocery,0
O000004,C00702,2026-06-07,11773.59,grocery,0
O000005,C00702,2026-04-02,725.54,apparel,0
O000006,C00736,2026-09-02,3967.51,beauty,0
O000007,C00736,2026-04-26,5597.51,apparel,1
O000008,C00736,2026-03-16,12405.54,grocery,0
O000009,C00736,2026-03-12,13869.18,electronics,0
O000010,C00736,2026-08-01,7485.17,beauty,0
O000011,C00261,2026-07-14,5360.46,home,0
O000012,C00261,2026-04-29,10426.1,home,0
O000013,C00261,2026-06-30,1029.87,grocery,1
O000014,C00261,2026-04-23,3450.48,apparel,0
O000015,C00308,2026-06-22,3338.95,beauty,0
O000016,C00308,2026-08-05,13010.06,electronics,0
O000017,C00308,2026-06-24,2245.02,apparel,0
O000018,C00308,2026-03-22,424.42,home,0
O000019,C00308,2026-08-15,14162.17,home,0
O000020,C00308,2026-07-25,5834.19,home,0
O000021,C00308,2026-06-26,3507.67,home,0
O000022,C00308,2026-08-03,12417.37,beauty,0
O000023,C00308,2026-07-22,408.01,home,0
O000024,C00308,2026-08-22,9028.46,home,0
O000025,C00308,2026-07-24,1889.14,electronics,0
O000026,C00308,2026-07-09,4364.3,home,0
O000027,C00811,2026-07-22,4692.23,apparel,0
O000028,C00811,2026-04-30,3832.44,electronics,0
O000029,C00811,2026-06-28,12094.75,grocery,0
O000030,C00811,2026-03-09,4997.91,apparel,0
O000031,C00811,2026-05-09,9934.39,home,0
O000032,C00811,2026-04-26,6452.92,beauty,0
O000033,C00193,2026-07-16,14922.88,apparel,0
O000034,C00193,2026-07-24,10786.53,grocery,0
O000035,C00785,2026-03-21,7757.53,apparel,0
O000036,C00785,2026-05-09,13184.47,apparel,0
O000037,C00785,2026-08-08,7220.48,home,0
O000038,C00785,2026-04-11,8517.77,apparel,0
O000039,C00785,2026-03-17,13523.99,electronics,0
O000040,C00785,2026-04-27,3582.92,home,0
O000041,C00785,2026-07-05,13336.6,home,0
O000042,C00785,2026-07-05,4622.55,electronics,0
O000043,C00785,2026-06-14,13035.98,grocery,0
O000044,C00785,2026-03-16,9423.62,beauty,0
O000045,C00785,2026-08-12,7657.02,beauty,0
O000046,C00785,2026-07-01,6372.68,apparel,0
O000047,C00320,2026-05-05,5337.25,grocery,0
O000048,C00320,2026-07-12,14803.74,apparel,0
O000049,C00320,2026-08-17,10820.33,electronics,0
O000050,C00320,2026-07-03,9576.18,apparel,0
O000051,C00174,2026-08-15,11489.54,apparel,0
O000052,C00174,2026-06-13,2629.0,electronics,0
O000053,C00174,2026-09-02,6675.56,beauty,0
O000054,C00174,2026-05-24,14490.32,beauty,0
O000055,C00174,2026-08-08,8146.6,home,1
O000056,C00174,2026-07-04,13412.49,grocery,0
O000057,C00174,2026-06-19,10248.2,apparel,0
O000058,C00033,2026-06-12,5361.94,apparel,0
O000059,C00033,2026-07-11,7699.05,home,0
O000060,C00033,2026-04-21,12410.5,home,0
O000061,C00033,2026-07-12,7002.12,grocery,0
O000062,C00033,2026-03-21,5266.18,apparel,0
O000063,C00004,2026-04-16,2723.79,beauty,0
O000064,C00004,2026-06-06,3597.52,apparel,1
O000065,C00004,2026-07-01,622.13,grocery,0
O000066,C00004,2026-06-02,5688.89,electronics,0
O000067,C00004,2026-07-20,9712.72,grocery,0
O000068,C00004,2026-04-01,9030.68,electronics,0
O000069,C00004,2026-08-13,9907.44,electronics,0
O000070,C00842,2026-05-28,6426.6,beauty,0
O000071,C00842,2026-05-22,4015.25,apparel,0
O000072,C00410,2026-07-04,10026.47,grocery,0
O000073,C00410,2026-06-25,9202.82,apparel,0
O000074,C00410,2026-08-01,13509.74,grocery,0
O000075,C00410,2026-05-04,2030.7,electronics,0
O000076,C00410,2026-03-28,7616.76,grocery,0
O000077,C00799,2026-05-27,12523.03,apparel,0
O000078,C00799,2026-09-01,6323.42,apparel,0
O000079,C00799,2026-05-22,7596.41,apparel,0
O000080,C00799,2026-03-28,7365.76,apparel,0
O000081,C00799,2026-04-06,10173.01,electronics,1
O000082,C00626,2026-04-19,7822.07,electronics,0
O000083,C00626,2026-06-11,9771.75,beauty,0
O000084,C00626,2026-05-03,4651.53,beauty,0
O000085,C00626,2026-03-18,12253.72,electronics,1
O000086,C00626,2026-06-11,5595.16,home,0
O000087,C00626,2026-06-10,2003.75,electronics,0
O000088,C00626,2026-06-27,2334.4,apparel,1
O000089,C00626,2026-04-29,13449.56,grocery,0
O000090,C00626,2026-04-26,11076.1,home,0
O000091,C00626,2026-04-23,2988.18,beauty,0
O000092,C00626,2026-08-17,7011.12,beauty,0
O000093,C00125,2026-04-11,9838.04,apparel,0
O000094,C00125,2026-08-04,10533.7,electronics,0
O000095,C00125,2026-05-10,12711.94,electronics,0
O000096,C00125,2026-06-01,8984.03,grocery,0
O000097,C00125,2026-04-13,2964.53,beauty,0
O000098,C00125,2026-04-18,9286.97,apparel,0
O000099,C00125,2026-07-30,7475.4,beauty,0
O000100,C00125,2026-07-20,1231.04,home,0
O000101,C00125,2026-06-17,13064.48,grocery,1
O000102,C00340,2026-07-17,13135.21,grocery,0
O000103,C00340,2026-07-01,10598.53,electronics,0
O000104,C00340,2026-07-02,10981.78,beauty,0
O000105,C00340,2026-05-04,10241.54,beauty,0
O000106,C00340,2026-06-30,12448.64,grocery,0
O000107,C00340,2026-06-27,9757.96,apparel,1
O000108,C00340,2026-09-02,7198.55,beauty,0
O000109,C00340,2026-03-31,1400.52,beauty,0
O000110,C00340,2026-07-05,5164.15,home,0
O000111,C00340,2026-06-03,3573.79,beauty,1
O000112,C00340,2026-08-12,3754.5,beauty,0
O000113,C00569,2026-03-11,6887.05,beauty,0
O000114,C00569,2026-03-22,2044.99,beauty,0
O000115,C00569,2026-07-25,561.21,beauty,0
O000116,C00569,2026-08-15,8489.83,electronics,0
O000117,C00569,2026-09-01,11939.21,grocery,0
O000118,C00569,2026-04-29,13384.63,grocery,0
O000119,C00569,2026-04-10,10170.67,home,0
O000120,C00569,2026-08-27,1097.85,apparel,0
O000121,C00569,2026-05-31,5180.0,grocery,0
O000122,C00354,2026-08-20,1976.14,apparel,0
O000123,C00354,2026-07-15,5520.54,home,1
O000124,C00354,2026-04-05,5796.19,electronics,0
O000125,C00354,2026-03-14,2713.08,apparel,0
O000126,C00354,2026-04-19,11214.91,beauty,0
O000127,C00354,2026-06-07,9279.52,apparel,0
O000128,C00354,2026-03-18,12827.26,apparel,0
O000129,C00354,2026-06-17,11786.88,home,0
O000130,C00354,2026-06-06,6392.71,grocery,0
O000131,C00354,2026-08-15,13408.79,beauty,0
O000132,C00354,2026-08-31,14356.0,apparel,0
O000133,C00618,2026-06-21,11122.34,grocery,1
O000134,C00618,2026-08-19,12630.6,beauty,0
O000135,C00618,2026-04-11,11781.9,apparel,0
O000136,C00618,2026-03-29,2852.66,apparel,0
O000137,C00618,2026-03-26,9965.57,grocery,0
O000138,C00618,2026-05-27,7710.42,beauty,0
O000139,C00618,2026-03-19,9252.21,apparel,0
O000140,C00618,2026-08-19,14464.83,home,0
O000141,C00618,2026-04-08,2260.57,beauty,0
O000142,C00421,2026-07-15,10611.97,home,0
O000143,C00421,2026-07-16,14052.03,apparel,0
O000144,C00421,2026-07-15,9475.26,home,0
O000145,C00421,2026-03-14,13841.52,apparel,0
O000146,C00421,2026-07-09,9856.27,apparel,0
O000147,C00421,2026-08-11,10506.39,home,0
O000148,C00421,2026-07-15,11483.39,grocery,0
O000149,C00421,2026-07-08,8688.38,beauty,0
O000150,C00421,2026-04-28,13439.83,grocery,0
